year,month,Mkt-RF,SMB,HML,RMW,CMA,RF,end,%_change,excess_ret
2013,10,4.18,-1.5,1.26,2.76,0.92,0.0,2013-10-01,16.69595782073813,16.69595782073813
2013,11,3.13,1.4,0.28,0.16,0.04,0.0,2013-11-01,9.237755342419666,9.237755342419666
2013,12,2.81,-0.44,-0.01,-0.46,0.08,0.0,2013-12-30,-5.740804400137498,-5.740804400137498
2014,1,-3.32,0.59,-2.02,-3.88,-1.43,0.0,2014-01-02,0.3225838709677384,0.3225838709677384
2014,2,4.65,0.16,-0.31,-0.23,-0.48,0.0,2014-02-03,0.7391589770315757,0.7391589770315757
2014,3,0.43,-1.13,4.92,2.11,1.98,0.0,2014-03-03,-0.407630836209658,-0.407630836209658
2014,4,-0.19,-4.13,1.14,3.45,1.03,0.0,2014-04-01,-2.2920758908947083,-2.2920758908947083
2014,5,2.06,-1.89,-0.13,0.05,-1.01,0.0,2014-05-01,4.400600087654697,4.400600087654697
2014,6,2.61,3.1,-0.69,-1.88,-1.99,0.0,2014-06-02,0.1292022005556272,0.1292022005556272
2014,7,-2.04,-4.26,-0.02,0.9,0.47,0.0,2014-07-01,2.903225806451608,2.903225806451608
2014,8,4.24,0.3,-0.43,-0.64,-0.68,0.0,2014-08-01,7.31515055967207,7.31515055967207
2014,9,-1.97,-3.72,-1.36,1.3,-0.5,0.0,2014-09-02,-4.172169825179961,-4.172169825179961
2014,10,2.52,3.77,-1.85,-0.5,-0.14,0.0,2014-10-01,-2.146257725202647,-2.146257725202647
2014,11,2.55,-2.24,-3.12,1.53,0.23,0.0,2014-11-03,-8.32020170185944,-8.32020170185944
2014,12,-0.06,2.86,2.29,-1.22,0.98,0.0,2014-12-29,-4.2117389571769355,-4.2117389571769355
2015,1,-3.11,-0.9,-3.61,1.62,-1.68,0.0,2015-01-02,-8.068931436907365,-8.068931436907365
2015,2,6.13,0.3,-1.85,-1.12,-1.78,0.0,2015-02-02,3.908799019087901,3.908799019087901
2015,3,-1.12,3.1,-0.41,0.16,-0.54,0.0,2015-03-02,-6.347962382445145,-6.347962382445145
2015,4,0.59,-3.08,1.83,-0.01,-0.64,0.0,2015-04-01,13.368200836820085,13.368200836820085
